key,value
total_items,109
currently_available,109
categories,"Appetizers & Sides, Bagels & Sandwiches, Chanukah Donuts, Chef's Specialties Sandwiches, Grab n Go!, Main Dishes, Omelets & Breakfast, Paninis & Wraps, Pastries/Muffins/Donuts, Patis Pastries, Patis Savory, Salads, Soup/ Farina, Spreads & Vegetables"
