item_name,base_price,pos_id,available,description,modifiers_json
Breakfast Burrito,12.99,6624531f-65e2-4cd2-b7c3-ad050e1bafa6,Yes,"Start your day with this healthy and appetizing meal. Fresh cracked eggs scrambled to perfection. Served in a toasted tortilla with hash browns, onions, tomato, pepper, cheese, and sliced jalapeno to make the dish pop with flavor.","[{""group_name"": ""Burrito Modifier (please note its fully loaded please add in notes if you would like to remove any modifier)"", ""required"": false, ""modifiers"": [{""name"": ""Scrambled eggs"", ""modifier_id"": ""c6b697ff-29bc-4bbf-90c2-d65454c03f58"", ""price"": null}, {""name"": ""Hash browns"", ""modifier_id"": ""ca516cfe-da0c-440f-b979-695372a43146"", ""price"": null}, {""name"": ""Israeli salad"", ""modifier_id"": ""e46de733-d13c-4bdf-a128-ec2da87340c5"", ""price"": null}, {""name"": ""Cheese"", ""modifier_id"": ""0b1859c6-8b50-4c13-9c7f-66b90026f145"", ""price"": null}, {""name"": ""Light jalape\u00f1o"", ""modifier_id"": ""fdb7a151-3194-4684-b419-86cc4cb03186"", ""price"": null}, {""name"": ""2 slices avocado"", ""modifier_id"": ""fd98f8b7-689d-4ef1-8a82-31c156745d03"", ""price"": null}, {""name"": ""On a toasted tortilla"", ""modifier_id"": ""da8ae6ec-da94-40e4-951f-93a2dcb8ba76"", ""price"": null}]}]"
Chèvre Sandwich,22.43,2e79d4a6-e83c-4c34-92de-5b92251128cc,Yes,"Cinnamon raisin goat cheese, roasted red peppers, purple onions, arugula, drizzled smoked paprika oil, sprinkled maldon sea salt, on sourdough bread.","[{""group_name"": ""Ch\u00e8vre Sandwich Modifiers"", ""required"": false, ""modifiers"": [{""name"": ""cinnamon raisin goat cheese"", ""modifier_id"": ""061f67a6-a6b8-417d-b0a6-6af049815cee"", ""price"": null}, {""name"": ""roasted red peppers"", ""modifier_id"": ""811ef91d-fc8f-4a63-be66-73c5bef6037f"", ""price"": null}, {""name"": ""purple onion"", ""modifier_id"": ""ad6dedef-0bb9-4fc8-a54b-42eebd4616a1"", ""price"": null}, {""name"": ""arugula"", ""modifier_id"": ""74600365-bfe7-4190-aa1d-b259332158a4"", ""price"": null}, {""name"": ""drizzled smoked paprika oil"", ""modifier_id"": ""973cf334-bb43-4c75-ac3a-97a5b0e914b5"", ""price"": null}, {""name"": ""sprinkled maldon sea salt"", ""modifier_id"": ""88a61dd5-3d44-48f3-b62e-eabbdf350735"", ""price"": null}, {""name"": ""sourdough bread"", ""modifier_id"": ""2f9d6689-c978-46ae-af92-0a8b38c933ef"", ""price"": null}]}]"
Cream Cheese Lox Croissant,18.19,72efaaf6-e53d-484d-86a2-af9a44912232,Yes,Scallion cream cheese,"[{""group_name"": ""Cream Cheese Lox Modifier"", ""required"": false, ""modifiers"": [{""name"": ""Scallion cream cheese"", ""modifier_id"": ""1408b185-bb9f-4b67-8511-eb4f7ecdaf3b"", ""price"": null}, {""name"": ""Pickled red onions"", ""modifier_id"": ""a11f03d2-4bb6-48b2-b855-2b377a6a1516"", ""price"": null}, {""name"": ""Capers"", ""modifier_id"": ""49793fe0-3ab3-40a9-9956-f27984ec1abe"", ""price"": null}, {""name"": ""Organic lox"", ""modifier_id"": ""1ba50ab1-b502-4e0e-bfe8-87704d6c7d6a"", ""price"": null}, {""name"": ""On a Croissant"", ""modifier_id"": ""6bedd121-ace8-491d-abac-d8456b374841"", ""price"": null}]}]"
Florida Sunnyside Sandwich,15.59,471d5e9b-a2fb-460d-b628-1b60cc92874a,Yes,A smear of light mayo,"[{""group_name"": ""Sunnyside Sandwich Modifier"", ""required"": false, ""modifiers"": [{""name"": ""No A smear of light mayo"", ""modifier_id"": ""3664c5ed-4297-417b-b1c1-38b05734b8f6"", ""price"": null}, {""name"": ""No Arugula"", ""modifier_id"": ""d6d44085-1214-4ad2-8c42-e62edf7a41be"", ""price"": null}, {""name"": ""No 2-egg sunnyside up"", ""modifier_id"": ""60b7b86c-f94f-43b4-976d-10b565d430de"", ""price"": null}, {""name"": ""No On a croissant"", ""modifier_id"": ""e24166e3-a881-4b7b-9464-a20ec5ca50c1"", ""price"": null}]}]"
Mediterranean Toast,15.59,ef6bad96-0e96-4c28-a19c-ff7c817e943f,Yes,"Embark on a flavor adventure with our tantalizing Sourdough Toasted Sandwich. Grilled babaganush, roasted eggplant bits, and creamy feta cheese unite on toasted sourdough, harmonizing beautifully with a drizzle of golden honey. Prepare your taste buds for a symphony of smoky, roasted, tangy, and sweet sensations in every heavenly bite. Satisfaction awaits in this exquisite fusion of Mediterranean-inspired ingredients.","[{""group_name"": ""Mediterranean Toast Modifier"", ""required"": false, ""modifiers"": [{""name"": ""No Grilled babaganush"", ""modifier_id"": ""0a021323-1abd-468e-9bd9-586ad0365c1e"", ""price"": null}, {""name"": ""No Roasted eggplant bits"", ""modifier_id"": ""64c6ea51-f0af-4242-b6ee-dab4aeab6dce"", ""price"": null}, {""name"": ""No Feta cheese"", ""modifier_id"": ""8073eef1-4053-4b0e-b9f5-ba53aa8bfc24"", ""price"": null}, {""name"": ""No Drizzled  honey"", ""modifier_id"": ""10720cdb-c86d-4ff9-8a8c-f43dc311b039"", ""price"": null}, {""name"": ""No On sourdough bread"", ""modifier_id"": ""af990f6d-19f3-4a97-a888-dc4fe8d42c98"", ""price"": null}]}]"
The 16th Ave Sandwich,15.59,a4e91666-7320-4679-9c87-06f2b33c7b87,Yes,"2 sliced hard-boiled eggs on toasted sourdough bread with mayo, lettuce, tomato, & American cheese.","[{""group_name"": ""16th Ave Sandwich Modifiers"", ""required"": false, ""modifiers"": [{""name"": ""2 sliced hard-boiled eggs"", ""modifier_id"": ""3b695fd9-b153-4a36-9037-a8f8788a60d1"", ""price"": null}, {""name"": ""Smear mayo"", ""modifier_id"": ""8107f800-b358-40b9-aecb-1d58b266dce1"", ""price"": null}, {""name"": ""Lettuce"", ""modifier_id"": ""054d7f12-e1e7-4fe6-bf47-1f11befc42e7"", ""price"": null}, {""name"": ""Tomato"", ""modifier_id"": ""e71155f2-b819-4498-81dd-484bdd266fa6"", ""price"": null}, {""name"": ""American cheese"", ""modifier_id"": ""cc1b5379-4e7c-48d5-8ac3-40bf8a9b932f"", ""price"": null}, {""name"": ""On toasted sourdough bread"", ""modifier_id"": ""caeb858f-a4d5-41de-ab54-745ef4402dae"", ""price"": null}]}]"
