item_name,base_price,pos_id,available,description,modifiers_json
Farina,8.44,3933d3d3-071e-476a-911d-566f82426261,Yes,Authentic Hungarian style. (Dairy),"[{""group_name"": ""Farina Toppings"", ""required"": false, ""modifiers"": [{""name"": ""Cocoa"", ""modifier_id"": ""6d9c6283-32b8-4f56-8581-aa5917783cb3"", ""price"": null}, {""name"": ""Cinnamon"", ""modifier_id"": ""f05d14fe-5a71-42b0-8b8e-9eb64949daae"", ""price"": null}]}, {""group_name"": ""Additional"", ""required"": false, ""modifiers"": [{""name"": ""Cocoa"", ""modifier_id"": ""71ba242b-35bd-4bd3-8413-3901bf68e1fa"", ""price"": 0.5}, {""name"": ""Cinnamon"", ""modifier_id"": ""83be082f-2ca5-4179-9fe1-b79252b9fcef"", ""price"": 0.5}]}]"
French Onion Soup,8.44,a5159376-7bda-45dc-90f8-43a1f735e333,Yes,Hot Fresh  Nourishing Onion Soup.,"[{""group_name"": ""Add Cheese"", ""required"": false, ""modifiers"": [{""name"": ""Mozzarella Cheese"", ""modifier_id"": ""978cd89e-8b0c-4fac-9c34-60ad2d00112c"", ""price"": 1.1}, {""name"": ""Feta Cheese"", ""modifier_id"": ""867b3a14-1e99-42f6-9f6b-ab69b797f916"", ""price"": 1.25}, {""name"": ""American Cheese"", ""modifier_id"": ""680241f7-50f0-4d86-b13a-b46bf91b303d"", ""price"": 1.1}]}, {""group_name"": ""Soup Modifier"", ""required"": false, ""modifiers"": [{""name"": ""Extra Hot"", ""modifier_id"": ""9f5b01a6-fa3a-4cb8-bb7d-33651ed76399"", ""price"": null}]}]"
Mushroom Barley Soup,8.44,3dbba3d3-d2b7-4981-9497-73d37d1b2f43,Yes,Hot fresh  Nourishing Mushroom Barley Soup.,"[{""group_name"": ""Soup Modifier"", ""required"": false, ""modifiers"": [{""name"": ""Extra Hot"", ""modifier_id"": ""9f5b01a6-fa3a-4cb8-bb7d-33651ed76399"", ""price"": null}]}]"
Vegetable Soup,8.44,5269c0ea-7e6f-4571-8b4d-62ef1f0a004a,Yes,Hot fresh  Nourishing Vegetable Soup.,"[{""group_name"": ""Soup Modifier"", ""required"": false, ""modifiers"": [{""name"": ""Extra Hot"", ""modifier_id"": ""9f5b01a6-fa3a-4cb8-bb7d-33651ed76399"", ""price"": null}]}]"
