item_name,base_price,pos_id,available,description,modifiers_json
Apple Strudel,7.79,44f6bbf8-fc45-4f79-8271-5d3f4586547e,Yes,,[]
Buns,5.25,ef18210c-d2fd-4f59-b014-6fadea07b242,Yes,"Please note if we do not have the chosen flavor you ordered, we will try to contact you. If we can't reach you, we will send what is available.","[{""group_name"": ""Flavor Danish"", ""required"": false, ""modifiers"": [{""name"": ""Chocolate"", ""modifier_id"": ""e002c3cb-e78e-4477-b257-692f362178f7"", ""price"": null}, {""name"": ""Cinnamon"", ""modifier_id"": ""f05d14fe-5a71-42b0-8b8e-9eb64949daae"", ""price"": null}]}]"
Cheese Cinnamon/ Choc. Bun,7.74,0c3a15bc-b22e-4358-9ef3-9279a7559f22,Yes,"Please note if we do not have the chosen flavor you ordered, we will try to contact you. If we can't reach you, we will send what is available.","[{""group_name"": ""Flavor Danish"", ""required"": false, ""modifiers"": [{""name"": ""Chocolate"", ""modifier_id"": ""e002c3cb-e78e-4477-b257-692f362178f7"", ""price"": null}, {""name"": ""Cinnamon"", ""modifier_id"": ""f05d14fe-5a71-42b0-8b8e-9eb64949daae"", ""price"": null}]}]"
Cheese Muffin,5.85,87343169-486e-4e46-bd8d-c69d2390d27d,Yes,"Please note if we do not have the chosen flavor you ordered, we will try to contact you. If we can't reach you, we will send what is available.","[{""group_name"": ""Muffin Flavor"", ""required"": false, ""modifiers"": [{""name"": ""Carrot"", ""modifier_id"": ""a67bb76f-d3e7-4e1f-8a6d-db7782c679b4"", ""price"": null}, {""name"": ""Cappuccino Chocolate Chip"", ""modifier_id"": ""2670de51-edc3-41c7-a8dc-76efdcb203ee"", ""price"": null}, {""name"": ""Chocolate Fudge"", ""modifier_id"": ""5a2b8493-15b3-4370-81d4-b0a7c594cecb"", ""price"": null}, {""name"": ""Corn"", ""modifier_id"": ""39f7d7e4-6bcb-496c-8573-4e7cf25577af"", ""price"": null}, {""name"": ""Chocolate Chip"", ""modifier_id"": ""4ceb5860-1292-47af-9522-33fd811b51e8"", ""price"": null}]}]"
Cheese Pastry,5.20,78c62b02-1a8e-478f-b013-152dc2a420f4,Yes,"Please note if we do not have the chosen flavor you ordered, we will try to contact you. If we can't reach you, we will send what is available.","[{""group_name"": ""Flavors"", ""required"": true, ""modifiers"": [{""name"": ""Choc. Chip"", ""modifier_id"": ""5d43a5f2-8eb1-45c6-bfec-4b34fb5b92e9"", ""price"": null}, {""name"": ""Caramel Cheese"", ""modifier_id"": ""5a5b665d-2915-4b01-8aa2-af4d3350163c"", ""price"": null}]}]"
Lemon Curd Meringue,14.29,54053f84-c3e0-42e0-b937-077d7dd8dab0,Yes,,[]
Muffin,3.24,1f34d75e-dea2-4699-8393-62740967363e,Yes,"Please note if we do not have the chosen flavor you ordered, we will try to contact you. If we can't reach you, we will send what is available.","[{""group_name"": ""Low Fat"", ""required"": false, ""modifiers"": [{""name"": ""Carrot (Low Fat)"", ""modifier_id"": ""6e1a2f70-da62-4a8e-83d5-921bae838d08"", ""price"": null}, {""name"": ""Choc. Chip ( Low Fat)"", ""modifier_id"": ""f2ce021c-2b45-4bcd-9d28-1e577e87b767"", ""price"": null}, {""name"": ""Gluten Free"", ""modifier_id"": ""be14f15f-9e09-447f-b968-766e3d926d65"", ""price"": 2.0}, {""name"": ""Spelt Energy Boost Breakfast Muffin (Healthy choice made with spelt flour)"", ""modifier_id"": ""0b73ef65-c574-4b38-a55f-48b34f935c26"", ""price"": 2.0}]}, {""group_name"": ""Muffin Flavor"", ""required"": false, ""modifiers"": [{""name"": ""Carrot"", ""modifier_id"": ""a67bb76f-d3e7-4e1f-8a6d-db7782c679b4"", ""price"": null}, {""name"": ""Cappuccino Chocolate Chip"", ""modifier_id"": ""2670de51-edc3-41c7-a8dc-76efdcb203ee"", ""price"": null}, {""name"": ""Chocolate Fudge"", ""modifier_id"": ""5a2b8493-15b3-4370-81d4-b0a7c594cecb"", ""price"": null}, {""name"": ""Corn"", ""modifier_id"": ""39f7d7e4-6bcb-496c-8573-4e7cf25577af"", ""price"": null}, {""name"": ""Chocolate Chip"", ""modifier_id"": ""4ceb5860-1292-47af-9522-33fd811b51e8"", ""price"": null}]}, {""group_name"": ""Gluten-Free"", ""required"": false, ""modifiers"": [{""name"": ""Gluten-Free Carrot"", ""modifier_id"": ""626c5732-3354-4e36-8486-637d440dbac4"", ""price"": null}, {""name"": ""Gluten-Free Chocolate Chip"", ""modifier_id"": ""04ed2c55-dddf-48fe-a36e-07c6e5fa4cc1"", ""price"": null}]}]"
