item_name,base_price,pos_id,available,description,modifiers_json
Bourekas,2.08,24a54742-47e3-4d51-b1d2-a1b7ad1e0b7e,Yes,One delicious Boreka. Choice of potato or mushroom.,"[{""group_name"": ""Boreka Flavors"", ""required"": false, ""modifiers"": [{""name"": ""Mushroom"", ""modifier_id"": ""01a2467b-76aa-4353-b583-3a86f3acfa94"", ""price"": null}, {""name"": ""Potato"", ""modifier_id"": ""88b2ade3-b653-40a9-bef8-f30d163c2304"", ""price"": null}]}]"
Garlic Knots,0.98,20354b13-cb3f-41be-86c3-082203d3db73,Yes,,[]
Hash Browns 1/2 Lb,5.19,512966f2-a770-4555-ad98-5eeff653d9d4,Yes,,[]
Israeli Salad 1/2 Lb,4.55,45d3cb33-e4a5-40f5-bc66-a4abd2b5eaee,Yes,,[]
Sliced Vegetables 1/2 Lb,4.55,2aee7a83-666e-4639-a160-367f496fef68,Yes,,"[{""group_name"": ""Sliced Vegetables Modifier"", ""required"": false, ""modifiers"": [{""name"": ""Tomatoes"", ""modifier_id"": ""fbc6437e-7c28-4b9b-8e79-ca9390b0e823"", ""price"": null}, {""name"": ""Cucumbers"", ""modifier_id"": ""8c73a67f-66a9-4ef7-9a81-d1f940c9ef50"", ""price"": null}, {""name"": ""Pickles"", ""modifier_id"": ""68c6fa60-c672-4c04-8889-32d4dafeda50"", ""price"": null}, {""name"": ""Onions"", ""modifier_id"": ""b56c03ad-8ac6-49f6-8681-b8359fd095de"", ""price"": null}]}]"
